instance type,instances running,parallel queries,repetitions,average execution time,min execution time,max execution time,normalized average,cost overall,cost per query
c6i_xlarge,1,12,5,5277.07,4491,5967,439.756,0,0.0000207663
c6i_xlarge,1,13,5,4654.09,3715,5642,358.007,0,0.0000169059
c6i_xlarge,1,14,5,5260.11,3750,6724,375.722,0,0.0000177424
c6i_xlarge,1,15,5,6244.29,4657,7433,416.286,0,0.0000196580
c6i_xlarge,1,16,5,5750.5,3785,7284,359.406,0,0.0000169719
c6i_xlarge,1,17,5,6258.93,4021,8200,368.172,0,0.0000173859
c6i_xlarge,1,18,5,7356.26,5045,8765,408.681,0,0.0000192988
c6i_xlarge,1,19,5,6316.23,4077,7465,332.433,0,0.0000156982
c6i_xlarge,1,20,5,7809.03,4665,9539,390.452,0,0.0000184380
c6i_xlarge,1,21,5,8746.21,5125,10296,416.486,0,0.0000196674
c6i_xlarge,1,22,5,9030.81,5168,11234,410.491,0,0.0000193843
c6i_xlarge,1,23,5,9300.22,5273,11151,404.357,0,0.0000190946
c6i_xlarge,1,24,5,8774.77,4458,11425,365.616,0,0.0000172652
c6i_xlarge,1,25,5,8406.94,4259,10819,336.278,0,0.0000158798
c6i_xlarge,1,26,5,9579.5,3967,12522,368.442,0,0.0000173987
c6i_xlarge,1,27,5,11107.5,5388,13733,411.389,0,0.0000194267
c6i_xlarge,1,28,5,11666.2,5096,14041,416.652,0,0.0000196752
c6i_xlarge,1,29,5,11987.9,5298,14423,413.376,0,0.0000195205
c6i_xlarge,1,30,5,10933.8,4481,14821,364.46,0,0.0000172106
c6i_xlarge,1,31,5,13087.8,4938,15650,422.188,0,0.0000199367
c6i_xlarge,1,32,5,13644.7,5531,16343,426.397,0,0.0000201354
c6i_2xlarge,1,1,5,1129.6,1039,1299,1129.6,0,0.0001066844
c6i_2xlarge,1,2,5,2385.3,1113,7204,1192.65,0,0.0001126392
c6i_2xlarge,1,3,5,1363.13,1254,1669,454.378,0,0.0000429135
c6i_2xlarge,1,4,5,1450.7,1359,1522,362.675,0,0.0000342526
c6i_2xlarge,1,5,5,1816.96,1338,7226,363.392,0,0.0000343204
c6i_2xlarge,1,6,5,1801.13,1601,1983,300.189,0,0.0000283512
c6i_2xlarge,1,7,5,1945.29,1768,2182,277.898,0,0.0000262459
c6i_2xlarge,1,8,5,2071.43,1828,2336,258.928,0,0.0000244543
c6i_2xlarge,1,9,5,2250.18,1978,2865,250.02,0,0.0000236130
c6i_2xlarge,1,10,5,2390.8,2139,2742,239.08,0,0.0000225798
c6i_2xlarge,1,11,5,3006.87,2225,11265,250.572,0,0.0000236651
c6i_2xlarge,1,12,5,3006.87,2225,11265,250.572,0,0.0000236651
c6i_2xlarge,1,13,5,3003.45,2354,11337,231.034,0,0.0000218199
c6i_2xlarge,1,14,5,3140.49,2701,3460,224.32,0,0.0000211858
c6i_2xlarge,1,15,5,3271.53,2328,3619,218.102,0,0.0000205985
c6i_2xlarge,1,16,5,3514.12,2955,3902,219.633,0,0.0000207431
c6i_2xlarge,1,17,5,3636.05,2731,4007,213.885,0,0.0000202003
c6i_2xlarge,1,18,5,3900.42,2785,4359,216.69,0,0.0000204652
c6i_2xlarge,1,19,5,4129.3,2974,4725,217.331,0,0.0000205257
c6i_2xlarge,1,20,5,4326.73,3523,4631,216.336,0,0.0000204317
c6i_2xlarge,1,21,5,4556.76,3588,5052,216.989,0,0.0000204934
c6i_2xlarge,1,22,5,4740.7,3983,5151,215.486,0,0.0000203515
c6i_2xlarge,1,23,5,4911.14,4124,5319,213.528,0,0.0000201665
c6i_2xlarge,1,24,5,5178.42,4375,5755,215.767,0,0.0000203780
c6i_2xlarge,1,25,5,5547.74,4974,6057,221.909,0,0.0000209581
c6i_2xlarge,1,26,5,5715.85,5142,6251,219.841,0,0.0000207628
c6i_2xlarge,1,27,5,6086.86,5482,6603,225.439,0,0.0000212915
c6i_2xlarge,1,28,5,6347.66,5745,6863,226.702,0,0.0000214107
c6i_2xlarge,1,29,5,6603.36,5921,7167,227.702,0,0.0000215052
c6i_2xlarge,1,30,5,6824.39,6148,7386,227.48,0,0.0000214842
c6i_2xlarge,1,31,5,7122.35,6430,7869,229.753,0,0.0000216989
c6i_2xlarge,1,32,5,7459.31,6796,8175,233.103,0,0.0000220153
serverless,0,1,5,2489.400000,2017.000000,3851.000000,2489.400000,0.000275,0.000055
serverless,0,2,5,2253.500000,2001.000000,3013.000000,1126.750000,0.000495,0.000050
serverless,0,3,5,2174.467000,1934.000000,2966.000000,724.822333,0.000718,0.000048
serverless,0,4,5,2199.400000,1915.000000,3564.000000,549.850000,0.000971,0.000049
serverless,0,5,5,2234.440000,1960.000000,3418.000000,446.888000,0.001249,0.000050
serverless,0,6,5,2153.100000,1924.000000,2914.000000,358.850000,0.001446,0.000048
serverless,0,7,5,2153.343000,1934.000000,3164.000000,307.620429,0.001674,0.000048
serverless,0,8,5,2149.950000,1878.000000,3375.000000,268.743750,0.001920,0.000048
serverless,0,9,5,2159.267000,1967.000000,3206.000000,239.918556,0.002134,0.000047
serverless,0,10,5,2179.240000,1917.000000,3494.000000,217.924000,0.002440,0.000049
serverless,0,11,5,2110.273000,1872.000000,2888.000000,191.843000,0.002615,0.000048
serverless,0,12,5,2119.483000,1866.000000,2986.000000,176.623583,0.002847,0.000047
serverless,0,13,5,2120.277000,1916.000000,3129.000000,163.098231,0.003084,0.000047
serverless,0,14,5,2102.000000,1868.000000,3090.000000,150.142857,0.003290,0.000047
serverless,0,15,5,2143.453000,1875.000000,3101.000000,142.896867,0.003574,0.000048
